№ п/п;ГРБС;Наименование ОКС;Этап строительства;Адрес;Координаты;;Отрасль;Статус;Собственность;АМО;Заказчик;Наименование НП/ГП;Наименование ФП;Код проекта;ОБЩАЯ пл., м2;"Мошность
(кол-во мест)";ЭКСПЕРТИЗА(Ы);Год начала;Год окончания;Сроки строительства;Дата передачи земельного участка заказчику;Дата получения разрешения на строительство (реконструкцию);Дата заключения контракта;Сроки контракта;Подрядчик;Строительная готовность;Дата установки технологического оборудования;Дата акта гидравлических испытаний;ЗОС;;АКТ ВВОДА;;Год ввода в эксплуатацию;Фото
;;;;;Широта;Долгота;;;;;;;;;;;;;;;;;;;;;;;дата;номер;дата;номер;;
1;2;3;4;5;6;7;8;9;10;11;12;14;15;16;17;18;20;21;22;23;24;25;26;27;30;58;65;66;67;68;69;70;73;74
41;Министерство спорта ТО;Модульный плавательный бассейн в г. Туле;Введен в эксплуатацию;г. Тула, ул. НКВД 156 полка;54.197689; 37.527130;Физическая культура и спорт;Введен в эксплуатацию;"Муниципальная
";АМО г. Тула;"ГУ ТО ""УСС""";-;"Бизнес - спринт ""Я выбираю спорт""";-;1 485,12;46;от 01.01.2025 № Информация об экспертизе будет направлена после разработки и утверждения проектно-сметной документации. Плановый срок 01.06.2025;2025;2025;2025;25.12.2025;25.12.2025;25.12.2025;14.05.2025 - 25.12.2025;"ООО ""СИМВОЛ""";100;25.12.2025;25.12.2025;25.12.2025;Не требуется ;25.12.2025;Не требуется ;2025;
42;Министерство энергетики ТО;Реконструкция объекта водоснабжения пос. Епифань;Введен в эксплуатацию;Тульская обл, Кимовский м.р-н, с.п. Епифанское, п. Епифань, ул. Садовая;53.832485;38.550602;Жилищно-коммунальное хозяйство;Введен в эксплуатацию;"Муниципальная
";АМО Кимовский район;АМО Кимовский район;"ГП ""Обеспечение качественными услугами жилищно-коммунального хозяйства населения Тульской области"" РП ""Чистая вода Тульской области""";-;-;4 000,00;1000 м3/сут;от 27.03.2025 № №71-1-1-2-016510-2025;2025;2025;2025;01.10.2025;01.10.2025;01.10.2025;28.07.2025-01.10.2025;"ООО ""ПРОМЭКОВОД""";100;01.10.2025;01.10.2025;01.10.2025;;03.12.2025;;2025;
43;Министерство энергетики ТО;Реконструкция объекта водоснабжения г. Богородицк, ул. Центральная, д. 57А;Введен в эксплуатацию;Тульская обл, г. Богородицк, ул. Центральная, д. 57А;53.768017;38.071033;Жилищно-коммунальное хозяйство;Введен в эксплуатацию;"Муниципальная
";АМО Богородицкий район;АМО Богородицкий район;"ГП ""Обеспечение качественными услугами жилищно-коммунального хозяйства населения Тульской области"" РП ""Чистая вода Тульской области""";-;-;3 407,00;200 м3/сут;от 21.02.2025 № №71-1-1-2-008872-2025;2025;2025;2025;01.10.2025;01.10.2025;01.10.2025;21.07.2025-01.10.2025;"ООО ""ПРОМЭКОВОД""";100;01.10.2025;01.10.2025;01.10.2025;;29.09.2025;;2025;
44;Министерство энергетики ТО;Строительство модульной котельной «Школьная» в п. Арсеньево Арсеньевского района ;Введен в эксплуатацию;Тульская обл,  Арсеньевский  р-н,  п. Арсеньево;53.740238;36.662493;Жилищно-коммунальное хозяйство;Введен в эксплуатацию;"Муниципальная
";АМО Арсеньевского района;АМО Арсеньевского района;"ГП: ""Обеспечение качественными услугами жилищно-коммунального хозяйства населения Тульской области"" РП: ""Строительство и капитальный ремонт объектов коммунальной инфраструктуры""";-;-;69,44;1,8 мВТ;от 12.05.2025 № №71-1-1-2-025239-2025;2024;2025;2024-2025;13.10.2025;13.10.2025;13.10.2025;01.12.2024-13.10.2025;"ООО ""Спецмонтажналадка""";100;13.10.2025;13.10.2025;13.10.2025;;13.10.2025;;2025;
45;Министерство энергетики ТО;Котельная Каменский район с. Архангельское, ул Тихомирова, 23а;Введен в эксплуатацию;Тульская область, Каменский район с. Архангельское, ул Тихомирова, 23а;53.263236;37.700298;Жилищно-коммунальное хозяйство;Введен в эксплуатацию;"Муниципальная
";АМО Каменского района;АМО Каменского района;"ГП: ""Обеспечение качественными услугами жилищно-коммунального хозяйства населения Тульской области"" РП: ""Строительство и капитальный ремонт объектов коммунальной инфраструктуры""";-;-;180,30;9 мВТ;от 05.05.2025 № №71-1-1-2-024437-2025;2024;2025;2024-2025;31.08.2025;31.08.2025;31.08.2025;01.12.2024-31.08.2025;"ООО ""Спецмонтажналадка""";100;31.08.2025;31.08.2025;31.08.2025;;13.02.2025;71-10-1-2025;2025;
46;Министерство энергетики ТО;Строительство модульной котельной мощностью 2,4 МВт в п. Приупский Киреевского района Тульской области;Введен в эксплуатацию;Тульская обл, Киреевский р-н, п. Приупский, ул. Клубная;53.909360;37.735898;Жилищно-коммунальное хозяйство;Введен в эксплуатацию;"Муниципальная
";АМО Киреевского района;АМО Киреевского района;"ГП: ""Обеспечение качественными услугами жилищно-коммунального хозяйства населения Тульской области"" РП: ""Строительство и капитальный ремонт объектов коммунальной инфраструктуры""";-;-;1 501,00;2,4 мВТ;;2025;2025;2025;30.11.2025;30.11.2025;30.11.2025;01.09.2025-30.11.2025;"ООО ""Спецмонтажналадка""";100;30.11.2025;30.11.2025;30.11.2025;;24.12.2025;71-12-15-2025;2025;
47;Министерство энергетики ТО;Строительство блочно-модульной котельной мощностью 1,5 МВт по адресу г. Узловая, ул. Чехова в районе д.1 взамен существующей котельной №4;Введен в эксплуатацию;Тульская область, г. Узловая, ул. Чехова в районе д.1;53.991084;38.171105;Жилищно-коммунальное хозяйство;Введен в эксплуатацию;"Муниципальная
";АМО Узловского района;АМО Узловского района;"ГП: ""Обеспечение качественными услугами жилищно-коммунального хозяйства населения Тульской области"" РП: ""Строительство и капитальный ремонт объектов коммунальной инфраструктуры""";-;-;101,16;1,5 мВТ;;2025;2025;2025;10.09.2025;10.09.2025;10.09.2025;12.08.2025-10.09.2025;"ООО ""Спецмонтажналадка""";100;10.09.2025;10.09.2025;10.09.2025;;10.09.2025;;2025;
48;Министерство энергетики ТО;Строительство газовой котельной 6 МВт по адресу Тульская область Щекинский район. Сп Огаревка ул. Шахтная д 106;Введен в эксплуатацию;Тульская область Щекинский район. Сп Огаревка, ул. Шахтная д 106;53.938220;37.570159;Жилищно-коммунальное хозяйство;Введен в эксплуатацию;"Муниципальная
";АМО Щекинского района;АМО Щекинского района;"ГП: ""Обеспечение качественными услугами жилищно-коммунального хозяйства населения Тульской области"" РП: ""Строительство и капитальный ремонт объектов коммунальной инфраструктуры""";-;-;87,84;6 Гкал/час;от 12.09.2024 № № 71-1-1-2-053651-2024;2024;2025;2024-2025;31.10.2025;31.10.2025;31.10.2025;08.11.2024-31.10.2025;"ООО ""Спецмонтажналадка""";100;31.10.2025;31.10.2025;09.09.2025;;09.09.2025;71-22-008-2025;2025;
49;Министерство энергетики ТО;Строительство модульной котельной теплопроизводительностью 1,2 МВт, работающей в автоматическом режиме. Расположенной по адресу Тульская область Каменский район д Яблонево;Введен в эксплуатацию; Тульская область, Каменский район, д. Яблонево;53.225280;37.915468;Жилищно-коммунальное хозяйство;Введен в эксплуатацию;"Муниципальная
";АМО Каменского района;АМО Каменского района;"ГП: ""Обеспечение качественными услугами жилищно-коммунального хозяйства населения Тульской области"" РП: ""Строительство и капитальный ремонт объектов коммунальной инфраструктуры""";-;-;134,60;1,2 мВТ;;2025;2025;2025;30.11.2025;30.11.2025;30.11.2025;16.09.2025 - 30.11.2025;"ООО ""Спецмонтажналадка""";100;30.11.2025;30.11.2025;09.12.2025;;09.12.2025;71-10-3-25;2025;
50;Министерство энергетики ТО;Строительство очистных сооружений в п. Арсеньево Арсеньевского района Тульской области;Введен в эксплуатацию;Тульская обл,  Арсеньевский  р-н,  п. Арсеньево;53.740082;36.690345;Жилищно-коммунальное хозяйство;Введен в эксплуатацию;"Муниципальная
";АМО Арсеньевский район;АМО Арсеньевский район;Обеспечение качественными услугами жилищно-коммунального хозяйства населения Тульской области;;07-2019/Т;9 989,00;1000 м3/сутки;от 30.03.2021 № №71-1-1-2-014548-2021;2022;2025;2022-2025;14.05.2024;14.05.2024;14.05.2024;11.07.2022-14.05.2024;"ООО ""СОЮЗПРОМТОРГ""";100;14.05.2024;14.05.2024;14.05.2024;;14.05.2024;;2025;
51;Министерство энергетики ТО;Канализационные очистные сооружения пгт. Славный Арсеньевского района Тульской области;Введен в эксплуатацию;Тульская обл,  Арсеньевский  р-н,  пгт. Славный;53.552721;36.464765;Жилищно-коммунальное хозяйство;Введен в эксплуатацию;"Муниципальная
";АМО Славный;АМО Славный;Обеспечение качественными услугами жилищно-коммунального хозяйства населения Тульской области;Модернизация систем коммунальной инфраструктуры;;2 953,60;550 м3/сут;от 01.07.2021 №  № 71-1-1-3-035770-2021;2024;2025;2024-2025;31.05.2025;31.05.2025;31.05.2025;04.06.2024-31.05.2025;"ООО ""Промэковод""";100;31.05.2025;31.05.2025;31.07.2025;28;31.07.2025;71-RU7132700-001-2025;2025;
52;Министерство энергетики ТО;Строительство станции водоподготовки с реконструкцией системы водоснабжения мкр. Горняк, мкр.Южный;Введен в эксплуатацию;Тульская обл.,  Богородицкий район, мкр. Горняк, мкр.Южный;53.758817;38.125059;Жилищно-коммунальное хозяйство;Введен в эксплуатацию;"Муниципальная
";АМО Богородицкий район;АМО Богородицкий район;Обеспечение качественными услугами жилищно-коммунального хозяйства населения Тульской области;"""Чистая вода""";F5;0,00;835,2 м3/сут;от 29.11.2021 № № 71-1-1-3-071483-2021;2023;2024;2023-2024;20.12.2024;20.12.2024;20.12.2024;29.03.2023-20.12.2024;"ООО ""Спецгеологоразведка""";100;20.12.2024;20.12.2024;31.03.2025;;31.03.2025;71-04-001-2025;2025;
53;Министерство энергетики ТО;Строительство модульной котельной с. Скомороши мощностью 0,6 МВт, работающей по адресу: Тульская область, дубенский район, МО Воскресенское, с. Скоморошки, ул. Центральная;Введен в эксплуатацию;Тульская область, дубенский район, МО Воскресенское, с. Скоморошки, ул. Центральная;54.078199;36.938644;Жилищно-коммунальное хозяйство;Введен в эксплуатацию;"Муниципальная
";АМО Дубенский район;АМО Дубенский район;-;-;-;0,00;0,6 МВт;от 22.04.2025 №  № 71-1-1-2-021699-2025;2025;2025;04.07.2025- 31.10.2025;10.12.2025;10.12.2025;10.12.2025;04.07.2025 -10.12.2025;"ООО ""Спецмонтажналадка""";100;10.12.2025;10.12.2025;03.12.2025;;03.12.2025;71-07-6-2025;2025;
54;АМО г. Тула;Строительство школы на 1100 мест в микрорайоне Суворовский 2, г. Тула, в т.ч. ПИР;;;;;0;СМР;0;0;АМО г. Тула;Молодежь и дети;Все лучшее детям;Ю4;12 791,00;1100;от 25.12.2024 № № 71-1-1-2-080362-2024, от 19.06.2024 № № 71-1-1-3-031136-2024;;;;;;;19.03.2025-06.05.2027;"ООО ""Стройэталон Финанс""";92,00;;;;;;;;
55;АМО Заокский район;Детская школа искусств в Заокском районе;;;54.732719;37.397683;Культура;СМР;Муниципальная;АМО Заокский район;МАУ ДО Заокская ДШИ;Семья;Семейные ценности и инфраструктура культуры;Я5;3 454,50;290;от 16.03.2026 № 71-1-1-3-010100-2026, от 29.04.2026 № 71-1-1-2-018878-2026;01.01.2026;01.01.2028;;19.11.2025;16.03.2026;27.01.2026;с 27.01.2026 по 01.09.2027;"ООО ""Стройэталонфинанс""";43,30;;;;;;;;
56;Министерство культуры и туризма ТО;"Строительство котельной для теплоснабжения и ГВС здания ГУК ТО ""Тульский государственный ордена Красного Знамени академический театр драмы имени М. Горького"", расположенный по адресу: Тульская область, г. Тула, проспект Ленина, д. 34а";;Тульская область, г. Тула, проспект Ленина, д. 34А;54.188397;37.609820;Культура;СМР;Государственная;0;ГУК ТО «Тульский государственный ордена Трудового Красного Знамени академический театр драмы имени М. Горького»;"ГП ТО ""Развитие культуры Тульской области""";;;114,00;3,6 мВт;;01.01.2026;;;;;16.03.2026;16.03.2026 - 15.10.2026;ООО СК «Тандем»;38,70;;;;;;;;
57;Министерство образования ТО;"Модульная котельная ГПОУ ТО ""Узловский политехнический техникум""";;Тульская область, Узловский м.р-н, г.п. город Узловая, г Узловая, ул Красноармейская, д. 3.;53.969845;38.161251;Образование;СМР;Государственная;АМО Узловский район;"ГПОУ ТО ""Узловский политехнический техникум""";ГП ТО Развитие инфраструктуры образовательных организаций, расположенных на территории Тульской области;;;0,00;2190 кВт;;01.01.2026;01.01.2026;;;;;04.05.2026-09.11.2026;"ООО ""Спецмонтажналадка""";0,00;;;;;;;;
58;Министерство сельского хозяйства, природных ресурсов и экологии ТО;"Многоквартирный жилой дом, расположенный по адресу; Тульская область, Куркинский район, р.п. Куркино";;;;;0;СМР;0;0;Администрация муниципального образования Куркинский муниципальный округ Тульской области;"Государственная программа Российской Федерации ""Комплексное развитие сельских территорий""";развитие жилищного строительства на сельских территориях и повышение уровня благоустройства домовладений;-;6 609,15;75 квартир;от 05.09.2025 № 71-1-1-3-053742-2025;;;;;;;17.03.2026-21.05.2027;"ООО ""ИНТЕРСТРОЙ""";6,90;;;;;;;;
59;Министерство энергетики ТО;Строительство станции водоподготовки и реконструкция сетей водоснабжения Новолюбовского водозабора;;Тульская область, Узловский район;;;Энергетика;СМР;Муниципальная;АМО Узловский район;АМО Узловский район;"ГП ""Обеспечение качественными услугами жилищно-коммунального хозяйства населения Тульской области"" РП ""Чистая вода Тульской области""";;;10 013,00;9000 м3/сут;от 09.12.2022 № №71-1-1-3-086888-2022;;;;;;;21.11.25-01.06.27;"ООО ""ОРТОСТ-ФАСАД"" № 270 от 21.11.2025";4,30;;;;;;;;
60;Министерство энергетики ТО;Строительство канализационных  очистных сооружений в п. Новольвовск Кимовского района Тульской области;;Российская Федерация, Тульская область, Кимовский р-н., сп..Новольвовск.;;;Энергетика;СМР;Муниципальная;АМО Кимовский район;АМО Кимовского района;"ГП: ""Обеспечение качественными услугами жилищно-коммунального хозяйства населения Тульской области"" РП: ""Строительство и капитальный ремонт объектов коммунальной инфраструктуры""";;;406,49;150 кубический метр в час;от 01.07.2025 № №71-1-1-3-036659-2025;;;;;;;26.09.2024 - 14.09.2026 ;"ООО ""Помэковод"" № 1 от  26.09.2024";100,00;;;;;;;;
61;Министерство энергетики ТО;Строительство блочно-модульной котельной мощностью 11 МВт по адресу г. Узловая, ул. Новая в районе д.1 взамен существующей котельной №26;;Российская Федерация, Тульская область, Узловский р-н., г.Узловая, кв-л.5 Пятилетка, ул.Новая, 1.;;;Энергетика;СМР;Муниципальная;АМО Узловский район;АМО Узловского района;"ГП: ""Обеспечение качественными услугами жилищно-коммунального хозяйства населения Тульской области"" РП: ""Строительство и капитальный ремонт объектов коммунальной инфраструктуры""";;;664,30;11 мВТ;от 08.12.2025 № 71-1-1-2-073862-2025;;;;;;;01.09.2025-20.10.2026;"ООО ""Константа"" № 138 от 16.06.2025";88,50;;;;;;;;
62;Министерство энергетики ТО;Строительство модульной котельной  по адресу г. Узловая квартал 5-я пятилетка, ул,Новая;;Российская Федерация, Тульская область, Узловский р-н., г.Узловая, кв-л.5 Пятилетка, ул.Новая.;;;Энергетика;СМР;Муниципальная;АМО Узловский район;АМО Узловского района;"ГП: ""Обеспечение качественными услугами жилищно-коммунального хозяйства населения Тульской области"" РП: ""Строительство и капитальный ремонт объектов коммунальной инфраструктуры""";;;225,00;1 мВТ;от 25.11.2025 №  71-1-1-3-070470-2025;;;;;;;09.02.2026 - 01.09.2026;"АО ""Спецмонтажналадка"" № 19 от 09.02.2026";100,00;;;;;17.07.2026;71-20-13-2026;;
63;Министерство энергетики ТО;Реконструкция очистных сооружений канализации города Тулы, в том числе I этап в части строительства цеха механического обезвоживания осадка (ЦМО) и вспомогательных сооружений;; г.Тула, наб.Дрейера,;;;Энергетика;СМР;Муниципальная;АМО г. Тула;МУ «УКС г. Тулы»;Обеспечение качественными услугами жилищно-коммунального хозяйства населения Тульской области;Инфраструктурное меню (инфраструктурный бюджетный кредит);;0,00;184464 м3/сут;от 20.06.2025 № № 71-1-1-2-034259-2025, от 25.12.2024 № №71-1-1-3-080458-2024;;;;;;;21.08.2023-31.12.2025;АО «ГК «ЕКС»;81,97;;;;;;;;01.07.2026
64;Министерство энергетики ТО;Реконструкция очистных сооружений биологической очистки сточных вод в р. п. Теплое Тепло-Огаревского района Тульской области производительностью 1500 м3/сутки;;р.п. Теплое;;;Энергетика;СМР;Муниципальная;0;АМО Тепло-Огаревский район;Обеспечение качественными услугами жилищно-коммунального хозяйства населения Тульской области;Содействие развитию инфраструктуры субъектов Российской Федерации (муниципальных образований);;214,90;1500 м3/сутки;от 13.11.2021 № № 71-1-1-2-066680-2021;;;;;;;02.04.2024-01.07.2026;ООО «Промэковод»;100,00;;;;;;;;26.06.2026
65;Министерство энергетики ТО;Строительство канализационных очистных сооружений мкр.Центральный (г. Донской);;;;;0;СМР;0;0;АМО г. Донской;Инфраструктура для жизни;Модернизация коммунальной инфраструктуры;И3;8 000,93;250 м3 / ч;от 22.12.2022 № 71-1-1-3-091068-2022;;;;;;;14.10.2025-30.09.2027;"ООО ""Стройнефть""";8,02;;;;;;;;
66;Министерство энергетики ТО;Строительство очистных сооружений бытовых сточных вод г. Суворова;;;;;0;СМР;Муниципальная;АМО Суворовский район;АМО Суворовский район;Инфраструктура для жизни;Модернизация коммунальной инфраструктуры;И3;2 078,32;208 м3 / ч;от 20.03.2023 № 71-1-1-3-013220-2023;;;;;;;15.09.2025-30.09.2027;"ООО ""Стройнефть""";12,20;;;;;;;;
67;Министерство энергетики ТО;Строительство станции водоподготовки с реконструкцией системы водоснабжения в г. Липки;;;;;0;СМР;0;0;АМО Киреевского района;Инфраструктура для жизни;Модернизация коммунальной инфраструктуры;И3;1 238,80;176 м3 / ч;от 02.09.2022 № 71-1-1-3-063477-2022 ;;;;;;;15.09.2025 - 30.09.2027;"ООО ""Константа""";7,70;;;;;;;;
68;Министерство энергетики ТО;Реконструкция очистных сооружений сточных бытовых вод г. Киреевск;;;;;0;СМР;0;0;АМО Киреевского района;Инфраструктура для жизни;Модернизация коммунальной инфраструктуры;И3;1 796,90;208 м3 / ч;от 01.04.2024 № 71-1-1-3-014850-2024;;;;;;;15.09.2025-30.09.2027;"ООО ""Стройнефть""";8,15;;;;;;;;
69;Министерство энергетики ТО;Строительство артезианской скважины в с. Хавки Веневского района;;Россия, Тульская область, Веневский м. р-н, с. Хавки;;;Энергетика;СМР;Муниципальная;АМО Веневский район;АМО Веневского района;"ГП ""Обеспечение качественными услугами жилищно-коммунального хозяйства населения Тульской области"" РП ""Чистая вода Тульской области""";;;4 182,00;111,1 м3/сут;от 22.12.2022 № 71-1-1-3-093334-2022;;;;;;;05.12.2025-01.10.2026;"ООО ""Вереск""; № 03662000356250082340001 от 05.12.2025";72,00;;;;;;;;
70;Министерство энергетики ТО;Обеспечение централизованным водоснабжением площадки для многодетных граждан, расположенной в д. Крюково;;Тульская область, МО г. Тула, д. Крюково.;;;Энергетика;СМР;Муниципальная;АМО г. Тула;АМО город Тула;"ГП ""Обеспечение качественными услугами жилищно-коммунального хозяйства населения Тульской области"" РП ""Чистая вода Тульской области""";;;0,00;;от 23.07.2026 № 71-1-1-3-012486-2026;;;;;;;16.07.2026-28.02.2027;"ООО ""ВЕРЕСК"", № ОК-2026.061431 от 16.07.2026";22,00;;;;;;;;
71;Министерство энергетики ТО;Реконструкция системы водоснабжения Пролетарского округа муниципального образования город Тула Медвенско-Осетровского водозабора, II этап;;;;;Энергетика;СМР;Муниципальная;АМО г. Тула;АМО город Тула;"ГП: ""Обеспечение качественными услугами жилищно-коммунального хозяйства населения Тульской области"" РП: ""Строительство и капитальный ремонт объектов коммунальной инфраструктуры"""; Реализация мероприятий в рамках инфраструктурных проектов Тульской области;;0,00;;от 16.10.2025 № 71-1-1-3-061743-2025;;;;;;;2025-2030;"МУП МО г.Тула ""Ремжилхоз""";23,74;;;;;;;;
72;Министерство энергетики ТО;Строительство модульной котельной ВМР по адресу: ул. 10 Армии, д.№1/1, в г. Богородицк  мощностью 2,5 МВт, взамен существующей;;Российская Федерация, Тульская область, Богородицкий р-н., г.Богородицк, ул.10 Армии, 1/1.;;;Энергетика;СМР;Муниципальная;АМО Богородицкий район;АМО Богородицкий район;"ГП: ""Обеспечение качественными услугами жилищно-коммунального хозяйства населения Тульской области"" РП: ""Строительство и капитальный ремонт объектов коммунальной инфраструктуры""";;;0,00;2,5 мВт;;;;;;;;20.10.2025-31.10.2026;"АО ""Спецмонтажналадка"" № 03662000356250069860001 от 20.10.2025";100,00;;;;;30.07.2026;71-04-003-2026;;
73;Министерство энергетики ТО;Строительство водовода для обеспечения централизованного водоснабжения земельных участков, предоставленных многодетным семьям по ул. 14 Декабря в г. Узловая Тульской области и расположенных к северу от д. Бибиково Узловского района Тульской области;;Российская Федерация, Тульская обл., Узловский р-н, г. Узловая, ул. Ивана Самсонова, Ивана Королёва улица, Бориса Лялина улица, Бибиковская улица, Ивана Самсонова переулок, Ивана Королёва переулок, Бибиковский переулок, Зои Воскресенской улица, Квасникова улица, Надежды улица, Утренняя улица, Встреч улица, Тенистая улица, Секретная улица, Разведчиков улица, Утренний переулок, Тенистый переулок. ;;;Энергетика;СМР;Муниципальная;АМО Узловский район;АМО Узловский район;"ГП ""Обеспечение качественными услугами жилищно-коммунального хозяйства населения Тульской области"" РП ""Чистая вода Тульской области""";;;8,10;;от 30.09.2025 № 71-1-1-2-058123-2025;;;;;;;01.12.2025-31.10.2026;"ООО ""ПОВОЛЖСКИЙ СТРОИТЕЛЬНЫЙ КОМБИНАТ № 1"" № 271 от 24.11.2025";100,00;;;;;;;;
74;АМО г. Тула;"Строительство школы на 1100 мест в ЖК ""Платон Парк"" по адресу: г. Тула, Привокзальный район, ул. Генерала Маргелова";;;;;0;ПИР;0;0;АМО г. Тула;-;-;-;21 060,16;1100;от 08.10.2025 № 71-1-1-3-059976-2025;;;;;;;-;-;0,00;;;;;;;;
75;АМО г. Тула;"Строительство школы на 1175 мест в ЖК ""Пряничная слобода"" по адресу : г. Тула, Зареченский район, ул. Большая";;;;;0;ПИР;0;0;АМО г. Тула;-;-;-;21 060,16;1175;от 25.09.2025 № 71-1-1-3-056989-2025;;;;;;;-;-;0,00;;;;;;;;
76;"АО ""КРТО""";Школа вместимостью 1 100 мест, расположенная по адресу Тульская область, Ленинский  район, д. Нижняя Китаевка;;Тульская область, Ленинский район, д. Нижняя Китаевка;;;Образование;ПИР;0;0;"АО ""КРТО""";инфраструктурные облигации, НП «Инфраструктура для жизни»;«Развитие инфраструктуры в населенных пунктах»;;17 700,00;1100;;;;;;;19.06.2026;19.06.2026-31.03.2029;"ООО ""СтройЭталон финанс""";0,00;;;;;;;;
77;Министерство культуры ТО;Реконструкция комплекса зданий ГУК ТО «Тульский государственный ордена Трудового Красного   Знамени академический театр драмы имени М. Горького», расположенного  по адресу: Тульская область, г. Тула, проспект Ленина, д. 34А;;Тульская область, г. Тула, проспект Ленина, д. 34А;54.188397;37.609820;Культура;ПИР;Государственная;0;ГУК ТО «Тульский государственный ордена Трудового Красного Знамени академический театр драмы имени М. Горького»;"ГП ТО ""Развитие культуры Тульской области""";;;15 997,00;;от 26.02.2026 № 71-1-1-2-007380-2026;01.01.2024;;;;;24.06.2024;24.06.2024 - 30.11.2025;"ООО ""МВ-Проект"" (ПИР)";0,00;;;;;;;;
78;Министерство образования ТО;"Общежитие ГПОУ  ТО ""Ясногорский  технологический техникум""";;Тульская обл., Ясногорский р-н, г. Ясногорск, ул. Л.Толстого, дом 1;54.488410;37.690246;Образование;ПИР+СМР;Государственная;0;"ГПОУ ТО ""Ясногорский  технологический техникум""";ГП ТО Развитие инфраструктуры образовательных организаций, расположенных на территории Тульской области;;;1 600,00;72;;;;;;;;2026-2028;;0,00;;;;;;;;
79;Министерство спорта ТО;Строительство тренировочной ледовой арены, в том числе ПИР, по адресу: г. Тула, п. Петровский,земельный участок с кадастровым номером 71:14:040401:17196;;;;;Физическая культура и спорт;Подготовка электронного аукциона (ЭА);Государственная;0;"ГУ ТО ""УСС""";"ГП ТО ""Развитие физической культуры и спорта Тульской области""";;;4 000,00;150;;;;;;;;;;0,00;;;;;;;;
80;Министерство спорта ТО;Модульный фиджитал центр в г. Тула;;;;;Физическая культура и спорт;СМР;Государственная;0;"ГУ ТО ""УСС""";;"Бизнес - спринт ""Я выбираю спорт""";;1 388,55;40;;;;;;;;;;13,00;;;;;;;;
81;Министерство спорта ТО;Модульный зал единоборств в г. Плавск;;;;;Физическая культура и спорт;СМР;Государственная;0;"ГУ ТО ""УСС""";;"""Развитие физической культуры и массового спорта""";;1 097,90;50;;;;;;;;;;19,30;;;;;;;;
82;Министерство спорта ТО;Модульный спортивный зал в п. Теплое;;;;;Физическая культура и спорт;СМР;Государственная;0;"ГУ ТО ""УСС""";;"Бизнес - спринт ""Я выбираю спорт""";;1 560,00;45;;;;;;;;;;15,00;;;;;;;;
83;Министерство спорта ТО;Региональный центр адаптивных видов спорта в г. Туле;;;;;Физическая культура и спорт;Бюджетные инвестиции;Государственная;0;"ГУ ТО ""УСС""";;"""Развитие физической культуры и массового спорта""";;5 000,00;130;;;;;;;;;;0,00;;;;;;;;
84;Министерство спорта ТО;Модульный спортивный зал в п. Волово;;;;;Физическая культура и спорт;ПИР;Государственная;0;"ГУ ТО ""УСС""";;"""Развитие физической культуры и массового спорта""";;1 200,00;46;;;;;;;;;;0,00;;;;;;;;
85;Министерство спорта ТО;Крытый тренировочный манеж с футбольным полем в г. Новомосковск ;;;;;Физическая культура и спорт;ПИР;Муниципальная;0;"ГУ ТО ""УСС""";;"""Развитие физической культуры и массового спорта""";;3 500,00;86;;;;;;;;;;0,00;;;;;;;;
86;Министерство спорта ТО;Физкультурно-оздоровительный комплекс с плавательным бассейном в п. Заокск ;;;;;Физическая культура и спорт;ПИР;Муниципальная;0;"ГУ ТО ""УСС""";;"""Развитие физической культуры и массового спорта""";;4 500,00;96;;;;;;;;;;0,00;;;;;;;;
87;Министерство спорта ТО;Модульный бассейн в п. Дубна;;;;;Физическая культура и спорт;ПИР;Муниципальная;0;"ГУ ТО ""УСС""";;"""Развитие физической культуры и массового спорта""";;1 320,00;48;;;;;;;;;;0,00;;;;;;;;
88;Министерство спорта ТО;Модульный бассейн в г. Ясногорск;;;;;Физическая культура и спорт;ПИР;Муниципальная;0;"ГУ ТО ""УСС""";;"""Развитие физической культуры и массового спорта""";;1 450,00;48;;;;;;;;;;0,00;;;;;;;;
89;Министерство спорта ТО;Модульный спортивный зал в п. Каменка ;;;;;Физическая культура и спорт;ПИР;Муниципальная;0;"ГУ ТО ""УСС""";;"Бизнес - спринт ""Я выбираю спорт""";;1 100,00;45;;;;;;;;;;0,00;;;;;;;;
90;Министерство строительства ТО;"Хирургический корпус ГУЗ ""Тульская городская клиническая больница скорой медицинской помощи им. Д.Я. Ваныкина""";;Тульская Область, Район Ленинский, Деревня Малевка;;;Здравоохранение;ПИР;0;0;"ГУКС ""ТулоблУКС""";"ГП ТО ""Развитие здравоохранения Тульской области""";Развитие инфраструктуры здравоохранения;;80 000,00;625;;;;;;;;28.07.2025-23.09.2026;"ООО ""ГИПРОЗДРАВ-РЕГИОН""";0,00;;;;;;;;
91;Министерство энергетики ТО;Реконструкция машинного зала (Q=2500-3000м3/сут) на территории водозабора ул. К. Маркса;;Тульская область, Одоевский м.р-н, г.п. рабочий поселок Одоев, рп Одоев, ул Карла Маркса;;;Энергетика;СМР;Муниципальная;АМО Одоевский район;АМО Одоевского района;"ГП ""Обеспечение качественными услугами жилищно-коммунального хозяйства населения Тульской области"" РП ""Чистая вода Тульской области""";;;0,00;2500-3000м3/сут;от 26.03.2026 № 71-1-1-2-012162-2026;;;;;;;15.06.2026-15.09.2026;"№ 0366200035626003550 от 15.06.2026  ООО ""ПРОМЭКОВОД""";7,00;;;;;;;;
